Date,Latitude,Longitude,CO2_Concentration,CO_Concentration,CH4_Concentration
2023-09-09,47.08593518602751,111.13675814533713,415.17857489446004,1.7868159905353602,2.615328359920447
2023-09-09,-84.89699203577099,132.6320564988972,403.0944668126831,-0.09957224530568316,1.6501953822804927
2023-09-09,-8.164931054832891,-28.791438878872384,437.0632264600585,3.7150582988386893,3.5492405335506256
2023-09-09,62.47399794961444,172.2894208922384,407.6574117396728,1.0105321795899982,2.2962576519994555
2023-09-09,-34.65122902926544,-173.12975554366187,423.2759179337438,2.386780762601909,2.9679585341492323
2023-09-09,-68.71850793655504,31.02555382187049,405.28981956895944,0.6984996143758945,2.1449857827333716
2023-09-09,27.899059469225108,74.45869532455924,427.29930921232307,2.731232570321983,3.1635261543480495
2023-09-09,33.2735431781835,24.191460251246724,422.34431618364755,2.488204881743889,3.0660809275076826
2023-09-09,88.84145404955251,-56.91857278858886,397.4822570489516,-0.3088670713445408,1.6247498908897284
2023-09-09,16.11236919476812,33.991750287207196,431.9607948977715,3.3346212757582685,3.44478144485837
2023-09-10,47.08593518602751,111.13675814533713,415.6117636545761,1.7733273790181674,2.653985114528635
2023-09-10,-84.89699203577099,132.6320564988972,398.6443027592724,-0.10438510889941313,1.7568903369384326
2023-09-10,-8.164931054832891,-28.791438878872384,436.7725984189166,3.7179188363456204,3.54009385161895
2023-09-10,62.47399794961444,172.2894208922384,408.99482958870306,1.0317004190409766,2.371777247535571
2023-09-10,-34.65122902926544,-173.12975554366187,420.5226691545722,2.399747960410247,2.9545185414624036
2023-09-10,-68.71850793655504,31.02555382187049,406.5149086074239,0.6969630241461536,2.140506952067932
2023-09-10,27.899059469225108,74.45869532455924,427.11906296690603,2.7452727113803195,3.2111910702969313
2023-09-10,33.2735431781835,24.191460251246724,425.61626927399845,2.4653686183804235,2.889528022655247
2023-09-10,88.84145404955251,-56.91857278858886,398.6124203041942,-0.29548638962174534,1.66449691150155
2023-09-10,16.11236919476812,33.991750287207196,432.26494598620405,3.3181223324476794,3.3556302486913303
2023-09-11,47.08593518602751,111.13675814533713,418.54329974807536,1.7747097973169998,2.5844976223975826
2023-09-11,-84.89699203577099,132.6320564988972,399.28190871315525,-0.11294768618162047,1.7256394440497667
2023-09-11,-8.164931054832891,-28.791438878872384,439.9420131487175,3.7211698862510962,3.6572905935497597
2023-09-11,62.47399794961444,172.2894208922384,409.21507893026757,0.9923320170690699,2.3497042829739465
2023-09-11,-34.65122902926544,-173.12975554366187,421.80291126983457,2.395209003288941,2.9668267335841594
2023-09-11,-68.71850793655504,31.02555382187049,406.61023492938324,0.6817496854683942,2.0738440283430553
2023-09-11,27.899059469225108,74.45869532455924,423.58942501086807,2.7148487007888717,3.023172495578579
2023-09-11,33.2735431781835,24.191460251246724,422.6739468493412,2.4503977809470983,2.8984449984414242
